unit;counterparty_code;counterparty_name;ctype_code;ctype_name;def_id;default_start_date;default_end_date;long_term_rating;currentstartdate;defaultenddate;dqi_check
RBRU;1588012;ALENT'EV SERGEI IVANOVICH (IP);6;Small Medium Business (SMB);131391;28.03.2021;12.08.2021;SME_10;28.03.2021;12.08.2021;ERROR
RBRU;1318629;DOZOR SB OOO;6;Small Medium Business (SMB);110592;25.05.2018;16.11.2018;SME_MIS;25.05.2018;16.11.2018;OK
RBRU;1527866;NOVSVIN LLC;3;Corporates;119870;26.09.2019;24.03.2020;CORP_MIS;26.09.2019;24.03.2020;OK
RBRU;751217;TD DINAMIKA-NN LLC;6;Small Medium Business (SMB);88823;16.05.2016;27.07.2017;SME_MIS;16.05.2016;27.07.2017;OK
RBRU;689413;IEN KARPOVA ALLA ALEKSANDROVNA;6;Small Medium Business (SMB);112289;07.09.2018;12.02.2019;SME_MIS;07.09.2018;12.02.2019;OK
RBRU;526540;IEN LOKTEV MIKHAIL LEONIDOVICH;6;Small Medium Business (SMB);96004;29.12.2016;03.04.2017;SME_MIS;29.12.2016;03.04.2017;OK
RBRU;558085;EVRO TEKHNOLOGII OOO;6;Small Medium Business (SMB);127050;28.08.2020;06.08.2022;SME_10;28.08.2020;06.08.2022;ERROR
RBRU;1494663;RAKHMANKULOV AL'BERT ROBERTOVICH;6;Small Medium Business (SMB);121732;23.12.2019;13.10.2021;SME_10;23.12.2019;13.10.2021;ERROR
RBRU;1209664;JSC New Technologies;3;Corporates;121770;24.12.2019;29.01.2021;CORP_MIS;24.12.2019;29.01.2021;OK
RBRU;161169;TH Inter-Step LLC;3;Corporates;127730;29.09.2020;28.03.2021;CORP_MIS;29.09.2020;28.03.2021;OK
RBRU;173372;STROITEKHNIK OOO;6;Small Medium Business (SMB);111267;03.07.2018;01.10.2021;SME_10;03.07.2018;01.10.2021;ERROR
RBRU;1330328;FSB OOO;6;Small Medium Business (SMB);123950;26.03.2020;26.02.2021;SME_MIS;26.03.2020;26.02.2021;OK
RBRU;734450;SEREBRYANYI BOR OOO;6;Small Medium Business (SMB);97745;12.03.2017;26.11.2019;SME_MIS;12.03.2017;26.11.2019;OK
RBRU;1326965;TITAN 2009 OOO;6;Small Medium Business (SMB);123910;26.03.2020;23.12.2020;SME_MIS;26.03.2020;23.12.2020;OK
RBRU;112038;AIRBRIDGECARGO AIRLINES LLC;3;Corporates;121411;13.12.2019;05.01.2021;CORP_MIS;13.12.2019;05.01.2021;OK
RBRU;690933;IPS M-SITI OOO;3;Corporates;104305;28.09.2017;12.10.2018;CORP_MIS;28.09.2017;12.10.2018;OK
RBRU;1518707;TSIVILEV MIKHAIL BORISOVICH (IP);6;Small Medium Business (SMB);117810;06.06.2019;09.09.2021;SME_10;06.06.2019;09.09.2021;ERROR
RBRU;645979;KOMPANIYA MOTOR-TEKHNOLOGIYA OOO;6;Small Medium Business (SMB);129994;30.12.2020;10.05.2021;SME_MIS;30.12.2020;10.05.2021;OK
RBRU;805462;COSNOVYI BOR OBSHCHESTVO S OGRANICH-ENNOI OTVETSTVENNOSTYU;6;Small Medium Business (SMB);97706;12.03.2017;26.11.2019;SME_MIS;12.03.2017;26.11.2019;OK
RBRU;1533005;LDR-Stroy LLC;3;Corporates;128091;18.10.2020;27.05.2021;CORP_MIS;18.10.2020;27.05.2021;OK
RBRU;856328;PAVLENKO VLADIMIR VLADIMIROVICH (IP-);6;Small Medium Business (SMB);107487;28.12.2017;05.10.2018;SME_MIS;28.12.2017;05.10.2018;OK
RBRU;681303;NTK OOO;3;Corporates;129730;18.12.2020;02.06.2021;CORP_10;18.12.2020;02.06.2021;ERROR
RBRU;683746;IEN LARIN DMITRII YUR'EVICH;6;Small Medium Business (SMB);111045;21.06.2018;08.01.2020;SME_MIS;21.06.2018;08.01.2020;OK
RBRU;665503;CHIKAGO OOO;3;Corporates;116391;26.03.2019;31.10.2019;CORP_MIS;26.03.2019;31.10.2019;OK
RBRU;1196969;ERA CROSS ENGINEERING COMPANY;3;Corporates;114450;05.12.2018;15.11.2020;CORP_10;05.12.2018;15.11.2020;ERROR
RBRU;590507;ALKOMARKET-S OOO;3;Corporates;92281;07.09.2016;30.09.2016;CORP_MIS;07.09.2016;30.09.2016;OK
RBRU;667141;IEN KRIVOSHEIN ANDREI ALEKSANDROVIC;6;Small Medium Business (SMB);113411;04.12.2018;11.03.2019;SME_MIS;04.12.2018;11.03.2019;OK
RBRU;781387;PERVAYA AVTOREMONTNAYA KOMPANIYA OO;6;Small Medium Business (SMB);91367;28.12.2017;10.04.2018;SME_MIS;28.12.2017;10.04.2018;OK
RBRU;811727;TORGOVYI DOM DINAMIKA OBSHCHESTVO S-OGRANICHENNOI OTVETSTVENNOSTYU;6;Small Medium Business (SMB);88822;16.05.2016;27.07.2017;SME_MIS;16.05.2016;27.07.2017;OK
RBRU;952369;DEMETRA L OOO;6;Small Medium Business (SMB);129510;10.12.2020;07.12.2021;SME_9C;10.12.2020;07.12.2021;OK
RFACTOR;740355;HTP High Tech Plastics GmbH;3;Corporates;130177;12.01.2021;30.06.2021;CORP_MIS;12.01.2021;30.06.2021;OK
RFACTOR;1340686;Skiny Bodywear GmbH & Co KG;3;Corporates;130178;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1229584;HANRO Deutschland GmbH;3;Corporates;130176;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1229579;HANRO International GmbH;3;Corporates;130173;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1229571;Skiny bodywear GmbH-Skiny bodywear GmbH;3;Corporates;130175;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;715848;Seisenbacher Gesellschaft mbH;3;Corporates;130180;12.01.2021;31.05.2022;CORP_9C;12.01.2021;31.05.2022;OK
RFACTOR;15549;Remus Innovation GmbH;3;Corporates;125252;20.05.2020;31.07.2021;CORP_7A;20.05.2020;31.07.2021;OK
RFACTOR;89393;CONEN GmbH;3;Corporates;122191;20.01.2020;31.07.2020;CORP_7C;20.01.2020;31.07.2020;OK
RFACTOR;756849;MC Kunststofftechnik GmbH;6;Small Medium Business (SMB);111269;04.07.2018;17.10.2018;SME_MIS;04.07.2018;17.10.2018;OK
RFACTOR;1613636;HT Electronic Systems GmbH -GMBH;3;Corporates;130171;12.01.2021;30.06.2021;CORP_7A;12.01.2021;30.06.2021;OK
RFACTOR;1229581;ARULA GmbH;3;Corporates;130170;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1229568;HOM GmbH;3;Corporates;130172;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1231494;Hanro AG;3;Corporates;130174;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RFACTOR;1340690;Huber Bodywear GmbH;3;Corporates;130179;12.01.2021;30.09.2021;CORP_9C;12.01.2021;30.09.2021;OK
RLAL;844444;2A2F- L OIL SHPK;3;Corporates;86441;25.02.2016;31.01.2017;CORP_MIS;25.02.2016;31.01.2017;OK
RLAL;877500;GLOBE SHOPS SHPK;3;Corporates;109545;26.03.2018;06.05.2019;CORP_6B;26.03.2018;06.05.2019;OK
RLAL;231596;ALB-MINES INVESTMENT GROUP SHPK;6;Small Medium Business (SMB);111726;31.07.2018;28.02.2022;SME_9C;31.07.2018;28.02.2022;OK
RLAL;680664;PAN ADRIATIC INVESTMENT SHPK;3;Corporates;86624;02.03.2016;11.01.2018;CORP_MIS;02.03.2016;11.01.2018;OK
RLAL;1400143;ARIAN CERMA PF;6;Small Medium Business (SMB);124210;15.04.2020;25.05.2022;SME_9C;15.04.2020;25.05.2022;OK
RLAL;313643;ADME SHPK;6;Small Medium Business (SMB);86444;25.02.2016;30.11.2016;SME_MIS;25.02.2016;30.11.2016;OK
RLAL;605209;M.C. INERTE SHPK;3;Corporates;86449;25.02.2016;01.11.2016;CORP_MIS;25.02.2016;01.11.2016;OK
RLAL;181591;TAIWAN SHPK;3;Corporates;86455;25.02.2016;29.12.2017;CORP_MIS;25.02.2016;29.12.2017;OK
RLAL;604551;RIGERS KONSTRUKSION  SHPK;3;Corporates;86452;25.02.2016;17.02.2017;CORP_MIS;25.02.2016;17.02.2017;OK
RLAL;491279;REJ SHPK;6;Small Medium Business (SMB);93303;12.10.2016;07.09.2017;SME_MIS;12.10.2016;07.09.2017;OK
RLAL;131287;SARA SHPK;6;Small Medium Business (SMB);86453;25.02.2016;19.08.2019;SME_MIS;25.02.2016;19.08.2019;OK
RLAL;154991;ESSEL SHPK;6;Small Medium Business (SMB);86447;25.02.2016;21.12.2017;SME_MIS;25.02.2016;21.12.2017;OK
RLAL;231459;ANAS SHPK;3;Corporates;102565;24.07.2017;04.12.2018;CORP_MIS;24.07.2017;04.12.2018;OK
RLAL;186829;ALPHA FRUIT SHPK;3;Corporates;86446;25.02.2016;18.12.2017;CORP_MIS;25.02.2016;18.12.2017;OK
RLAL;604962;SEA-FISH SHPK;6;Small Medium Business (SMB);86454;25.02.2016;27.04.2017;SME_5C;25.02.2016;27.04.2017;OK
RLAL;736243;SUN PETROLEUM ALBANIA SHPK;3;Corporates;110308;02.05.2018;14.11.2019;CORP_MIS;02.05.2018;14.11.2019;OK
RLAL;1343219;RAMETAL SHPK-RAMETAL;3;Corporates;122870;21.02.2020;21.09.2022;CORP_9C;21.02.2020;21.09.2022;OK
RLBG;157089;AGROPROMDEIN-KAVACITE EOOD/ EOOD;3;Corporates;102665;26.07.2017;27.10.2020;CORP_MIS;26.07.2017;27.10.2020;OK
RLBG;626412;EUROPE PLUS 1 ood;6;Small Medium Business (SMB);88841;17.05.2016;05.12.2016;SME_MIS;17.05.2016;05.12.2016;OK
RLBG;223124;PCHELA 2002 EOOD EOOD;6;Small Medium Business (SMB);96645;30.01.2017;14.11.2019;SME_10;30.01.2017;14.11.2019;ERROR
RLBG;151872;BODY COLOR OOD OOD;6;Small Medium Business (SMB);133371;09.07.2021;12.01.2022;SME_9C;09.07.2021;12.01.2022;OK
RLBG;314406;VINZAVOD AD/ AD;3;Corporates;102666;26.07.2017;27.10.2020;CORP_MIS;26.07.2017;27.10.2020;OK
RLBG;599286;ZKPU NAPREDAK 2000 KOOPERATSIA;3;Corporates;93702;20.10.2016;03.01.2017;CORP_MIS;20.10.2016;03.01.2017;OK
RLBG;94459;INOS-1  OOD;3;Corporates;123010;26.02.2020;26.10.2021;CORP_8B;26.02.2020;26.10.2021;OK
RLBH;913221;TRENDESIGN DOO SARAJEVO;6;Small Medium Business (SMB);85101;11.01.2016;29.01.2016;SME_MIS;11.01.2016;29.01.2016;OK
RLBH;661375;TEMPOTURIST DOO;6;Small Medium Business (SMB);85102;11.01.2016;22.12.2016;SME_MIS;11.01.2016;22.12.2016;OK
RLBH;309672;KRAJINALIJEK AD BANJA LUKA;3;Corporates;96945;09.02.2017;30.03.2017;CORP_MIS;09.02.2017;30.03.2017;OK
RLBH;669891;NEOBAS DOO;3;Corporates;96207;10.01.2017;31.08.2017;CORP_MIS;10.01.2017;31.08.2017;OK
RLBH;270674;EPI DOO GRADISKA;6;Small Medium Business (SMB);86763;09.03.2016;19.04.2016;SME_MIS;09.03.2016;19.04.2016;OK
