unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
RBBH;1443261;6;41;1498000;2750000;2495000
RBBH;2205242;6;69071;1498000;4110000;2495000
RBBH;720660;6;192365;1498000;3010000;2495000
RBBH;166410;6;243273;1498000;2960000;2495000
RBBH;1627754;6;10;1498000;2790000;2495000
RBBH;514425;6;478571;1498000;2620000;2495000
RBBH;446662;6;125018;1498000;2730000;2495000
RBBY;748891;6;431394;1806000;6950000;6006000
RBBY;1006238;6;1195606;1806000;21300000;6006000
RBBY;748643;6;271095;1806000;7420000;6006000
RBBY;328637;6;69052;1806000;9270000;6006000
RBBY;1978525;6;833224;1806000;10250000;6006000
RBBY;1521957;6;2125;1806000;7500000;6006000
RBBY;1526815;6;84373;1806000;6670000;6006000
RBBY;1621924;6;343939;1806000;7350000;6006000
RBBY;1841280;6;72183;1806000;7200000;6006000
RBBY;684132;6;40092;1806000;10510000;6006000
RBBY;1597648;6;1000875;1806000;7200000;6006000
RBBY;188156;6;7250;1806000;10510000;6006000
RBBY;1606699;6;22053;1806000;6730000;6006000
RBBY;566353;6;464628;1806000;6140000;6006000
RBBY;576002;6;102062;1806000;6670000;6006000
RBBY;332320;6;806536;1806000;9450000;6006000
RBBY;328263;6;22442;1806000;9270000;6006000
RBBY;1498992;6;41196;1806000;7500000;6006000
RBBY;2037362;6;138898;1806000;7500000;6006000
RBBY;1626572;6;262050;1806000;7370000;6006000
RBBY;1225355;6;31241;1806000;6590000;6006000
RBBY;1786703;6;34762;1806000;7500000;6006000
RBBY;1057687;6;159600;1806000;7510000;6006000
RBBY;1345500;6;150912;1806000;6290000;6006000
RBBY;1612787;6;180089;1806000;6710000;6006000
RBBY;1482732;6;124544;1806000;18860000;6006000
RBBY;1350301;6;138708;1806000;7500000;6006000
RBBY;575445;6;20610;1806000;7500000;6006000
RBBY;2070805;6;98555;1806000;8120000;6006000
RBBY;1431508;6;120044;1806000;14150000;6006000
RBBY;634339;6;65843;1806000;7720000;6006000
RBBY;697187;6;9018;1806000;6480000;6006000
RBBY;1808295;6;103015;1806000;7250000;6006000
RBBY;561562;6;752611;1806000;6480000;6006000
RBBY;907298;6;245608;1806000;6120000;6006000
RBCZ;1313030;6;397502;2048000;11370000;10241000
RBCZ;1451766;6;1658947;2048000;11840000;10241000
RBCZ;925376;6;2188787;2048000;5220000;10241000
RBCZ;759300;6;235000;2048000;18980000;10241000
RBCZ;714246;6;2435168;2048000;8180000;10241000
RBCZ;170559;6;500000;2048000;10700000;10241000
RBCZ;198628;6;746392;2048000;31959000000;10241000
RBCZ;1469413;6;153845;2048000;12200000;10241000
RBCZ;679870;6;19885;2048000;30230000;10241000
RBCZ;226336;6;1579111;2048000;11060000;10241000
RBCZ;242772;6;1098889;2048000;10420000;10241000
RBCZ;169786;6;250000;2048000;11530000;10241000
RBCZ;1353195;6;414662;2048000;13730000;10241000
RBCZ;1208677;6;1995128;2048000;13200000;10241000
RBCZ;198524;6;82932;2048000;31959000000;10241000
RBCZ;879568;6;2078555;2048000;9970000;10241000
RBCZ;192516;6;520070;2048000;10320000;10241000
RBCZ;912942;6;88890;2048000;30230000;10241000
RBCZ;121740;6;315887;2048000;11820000;10241000
RBCZ;1964715;6;150000;2048000;11000000;10241000
RBCZ;920017;6;620037;2048000;13170000;10241000
RBCZ;608445;6;2329242;2048000;6890000;10241000
RBCZ;439171;6;1326920;2048000;12730000;10241000
