unit;trigger_default_id;trigger_default_cocunut;trigger_default_entity_type;trigger_default_entity_type_desc;trigger_default_class_1;trigger_default_rank;cross_default_id;cross_default_cocunut;cross_default_entity_type;cross_default_entity_type_desc;cross_default_class_1;cross_booking_company;cross_default_rank;number_days;trigger_default_start_conf_on;cross_default_start_conf_on;dqi_check
ILSK;138212;1927438;6;Small Medium Business (SMB);D8;1;138232;1927438;6;Small Medium Business (SMB);D12;TBSK;2;2;28.03.2022;30.03.2022;OK
ILSK;134990;310552;6;Small Medium Business (SMB);D8;1;135151;310552;6;Small Medium Business (SMB);D12;TLSK;2;4;30.09.2021;04.10.2021;OK
ILSK;134672;388622;3;Corporates;D8;1;134970;388622;3;Corporates;D12;TLSK;2;5;24.09.2021;29.09.2021;ERROR
ILSK;134704;751945;6;Small Medium Business (SMB);D8;3;93990;751945;6;Small Medium Business (SMB);D12;TLSK;2;1795;24.09.2021;25.10.2016;OK
ILSK;134706;764901;3;Corporates;D8;1;137031;764901;3;Corporates;D12;TBSK;2;103;24.09.2021;05.01.2022;ERROR
ILSK;136391;804919;3;Corporates;D8;3;88364;804919;3;Corporates;D12;TLSK;2;2043;30.11.2021;27.04.2016;OK
ILSK;136315;1310269;6;Small Medium Business (SMB);D8;1;136332;1310269;6;Small Medium Business (SMB);D12;TLSK;2;0;26.11.2021;26.11.2021;OK
RBAL;127754;231683;3;Corporates;D11;1;127770;231683;3;Corporates;D12;RLAL;2;2;28.09.2020;30.09.2020;OK
RBAL;137438;177868;3;Corporates;D11;2;137437;177868;3;Corporates;D12;RLAL;1;0;31.01.2022;31.01.2022;OK
RBAL;121592;920427;6;Small Medium Business (SMB);D11;1;121650;920427;6;Small Medium Business (SMB);D12;RLAL;2;5;19.12.2019;24.12.2019;ERROR
RBBG;121310;730383;6;Small Medium Business (SMB);D11;1;121390;730383;6;Small Medium Business (SMB);D12;RLBG;2;2;11.12.2019;13.12.2019;OK
RBBG;135571;1524096;18;Specialised Lending Project (excl. Commodity);D11;1;135591;1524096;18;Specialised Lending Project (excl. Commodity);D12;RLBG;2;3;22.10.2021;25.10.2021;OK
RBBG;133370;151872;6;Small Medium Business (SMB);D11;1;133371;151872;6;Small Medium Business (SMB);D12;RLBG;2;0;09.07.2021;09.07.2021;OK
